优先级,类别,文件/模块,问题描述,建议方案,完成
P2,前端类型/契约,frontend/src/api/* 与 backend pydantic schemas 漂移,backend 已有 backend/api/*_schemas.py（pydantic）；frontend 手写 types.ts。两端 ''isOk/success/data/error'' 字段拼写多样化；新增字段经常前后端不同步。,用 datamodel-code-generator 或 openapi-typescript：FastAPI 已开 /openapi.json，启动后用 npm script ''gen:api''拉取生成 frontend/src/api/__generated__.ts；frontend/src/api/* 仅做高层封装。CI 验证 generated 文件提交且与 schema 一致。,是
P2,测试/CI,backend/tests/ 70 个文件 但 frontend/__tests__/ 仅 18 个,测试体量倾斜：backend 大部分覆盖在 zujuan 抓取（test_zujuan_*），agent/generation/paper_compose 覆盖薄弱；frontend 测试零散，关键 hook（useChat/useDeepThink/useBlueprint）无测。,backend 补 agent/react/loop、generation/agentic/runtime、paper_compose/slot_selection、llm/sse_parser 的纯函数级测试；frontend 补 useChat 的事件流（mock SSE）+ useTaskStore 的状态机测试；CI 跑 vitest --coverage 与 unittest --quiet。,是
P2,CI/CD,项目根缺 .github/workflows/,start.bat doctor 是开发者本地脚本；当前仓库没看到 .github/workflows/ 或 .gitlab-ci.yml；任何提交都没自动跑 ruff / unittest / vitest / build。,"建 .github/workflows/ci.yml：matrix(python=3.10,3.11,3.12; node=20)；并行跑 ruff、mypy、unittest、frontend lint+build+vitest+playwright；PR 必须 green。",是
P2,可观测,缺统一 trace_id 传递到前端,SSE 事件、task done、error 都未带 trace_id；线上调错只能靠时间戳猜。,后端在每个 SSE envelope 注入 trace_id；前端 ToastHost 错误展示带 trace_id；用户截图即可定位。,是
P2,可观测/Prometheus,backend/core/metrics.py instrument_app 已挂但维度不足,已经 instrument_app 暴露 /metrics（备 prometheus），但缺 LLM tokens/cost、tool 调用次数、SSE 连接数、任务终态分布等业务级指标。,"新增 backend/core/business_metrics.py 注册 Counter/Histogram：llm_tokens_total{provider,model,tier}, tool_calls_total{name}, sse_active_connections, tasks_terminal_total{type,status}；调用点用装饰器或 context manager 统一记录。",是
P2,前端/i18n,frontend 全局中文硬编码,组件里大量''新建对话''、''任务中心''、''标签（逗号分隔）''等中文 string 硬编码；既无法切英文，又妨碍管理文案一致性（例如''学习助手''、''试卷助手''混用）。,引入 react-i18next 或 lingui；先抽出 sidebar/header/menu 文案到 zh-CN.json；为后续 i18n 留口；同时统一品牌名（学习助手 vs 试卷助手）。,是
P2,前端/PWA,frontend 没有 service worker / 离线策略,产品定位''本地优先''但前端没注册 SW，断网即白屏；缺 manifest 与 install 提示。,vite-plugin-pwa；缓存 dist 静态资源 + 关键 GET API（/api/system/config、/api/conversations）；offline 页面；与 main.tsx 集成。,是
P2,前端/工具,frontend/src/lib/utils.ts generateId 用 Math.random,消息 ID、任务 ID 等用 Math.random.toString(36) 生成，理论碰撞概率虽小但重要 ID（chat-*-Date.now() 是字符串拼接）不应靠它。,改用 crypto.randomUUID() 或 nanoid；为 generateId 加 prefix 参数（msg-/task-/step-）；老数据无需迁移。,是
P3,AI链条,backend/llm/client.py:69-72 tiktoken 静默失败,初始化失败仅 debug 日志，新人看见 ''token 估算偏差''完全不知道因为没装 tiktoken。,fallback 到启发式时记一次 INFO（带 advice：pip install tiktoken）；并在 /api/system 健康检查里把 tokenizer_backend 字段暴露出来。,是
P3,AI链条,backend/agent/core.py:712 done 事件 payload 体积,done 事件含 per_kp_report + timing_report + 多个 url + filename，最大可几十 KB；前端只用其中部分。,timing_report 改为压缩摘要（max 8 stages × 时长）；详细数据放 /api/study-materials/runs/{id}/timing 走 lazy fetch。,是
P3,AI链条,backend/agent/tools/registry.py importlib 反射式发现,启动时遍历 backend/agent/tools 子模块抓 *ToolsMixin；新人无法静态推断哪些 tool 被注册，IDE 也找不到引用。,显式列出 mixin import + 注册（保留 _PREFERRED_MIXIN_ORDER 作为顺序声明）；废弃反射；为 tool 注册写 mypy 友好的类型声明。,是
P3,前端布局,frontend/src/index.css 512 行,主题/排版/scrollbar/动画/timeline 颜色变量都堆在一个文件里；新增主题就要满文件搜索。,"拆成 styles/{tokens.css, typography.css, animations.css, scrollbar.css, timeline.css}；用 @import 串起来；保持当前视觉，仅做组织。",是
P3,前端布局,frontend/src/components/layout/HistorySidebar.tsx:201-242 自定义 mobile 媒体查询,MOBILE_MEDIA_QUERY = '(max-width: 1023px)' 写死；和 Tailwind lg 断点重复。,用 useMediaQuery hook；常量统一到 frontend/src/lib/breakpoints.ts；与 tailwind.config 引用同一来源（如 import { lg } from './breakpoints'）。,是
P3,代码质量,backend/chat/service.py:210 chat_service = ChatService() 模块级单例,模块导入时构造，crawler/cache 也跟着初始化；测试时无法替换实例。,改为依赖注入（FastAPI Depends）或显式 get_chat_service()；测试可注入 mock。,是
P3,代码质量,backend/agent/streaming.py + backend/study_materials/orchestrator.py 重复 _clip_text/_clip_chars,六个不同模块各自实现 ''截断到 N 字''函数。,"统一到 backend/core/text_utils.py 的 clip_text(text, max_chars, ellipsis='…')；replace_all 引用。",是
P3,可观测,缺统一 trace_id 传递到前端,SSE 事件、task done、error 都未带 trace_id；线上调错只能靠时间戳猜。,后端在每个 SSE envelope 注入 trace_id；前端 ToastHost 错误展示带 trace_id；用户截图即可定位。,是
P3,文档,frontend/AGENTS.md 与 docs/DEVELOPMENT.md 关于 layout 的指南,目前未明文描述 ManusLayout 的 fullscreen/wide/studio 语义；新人新增页面要么瞎抄前缀要么走错。,在 docs/DEVELOPMENT.md 增 ''布局变体''章节：列出 4 种 layout、何时选择、如何在 ROUTE_CONFIG 标注；附决策树。,是
P3,文档/配置,.env.example 共 71 个 KEY,配置面巨大（71 个 env），任何漏配都可能让 llm/crawler/MCP 启动失败；缺一处自动校验。,新增 backend/core/config_check.py + scripts/check_config.py：启动时校验''必填+互斥''关系（如 CHAT_PROVIDER==openrouter 必填 OPENROUTER_API_KEY）；分级输出 missing/recommended/optional；并加 docs/CONFIGURATION.md 中的快速对照表。,是
P3,前端/UX,frontend brand 文案 不一致 (''学习助手'' / ''试卷助手'' / package.json: ''exam-paper-assistant-frontend''),Header 写''学习助手''，README 写''Study AI''，package.json 是 exam-paper-assistant-frontend；新人不知道产品叫什么。,定 docs/BRANDING.md 选定一个对外名 + 内部代号；统一各处文案；package.json 可保留代号但 displayName 使用统一品牌。,是
P3,前端依赖,frontend/package.json: lucide-react ^0.563.0,lucide-react 0.563 较旧；React 19 + Vite 6.3 + framer 12 都已是较新栈，但图标库版本滞后；后续升级容易冲突。,升级到 lucide-react 最新（关注 breaking icon 重命名）；CI 跑 npm outdated；锁定 minor 升级策略。,是
P3,前端依赖,frontend dist/ 出现在 git 工作树（May 3 15:57 修改）,frontend/dist 看似被构建后没有 gitignore 区分清楚；如果误 commit 会污染历史。,确认 frontend/.gitignore 已忽略 dist；CI 在 build 后只上传 artifact 不入 git；docker/Dockerfile 引用 dist 时使用 multi-stage build。,是
P3,后端/RateLimit,backend/app.py:319 _SlidingWindowRateLimiter 是单进程 in-memory,多 worker 部署时每 worker 独立限速窗口；用户被限速次数变成 N 倍。,文档化''单 worker only''；或迁移到 Redis 实现共享窗口；或挂 nginx/traefik 做边缘限速；至少在启动时如果 WORKERS>1 警告日志。,是
P3,后端/数据保护,backend SQLite .local 数据无备份脚本,数据落 .local/，未提供 dump/restore 脚本；用户误删即丢。,新增 scripts/backup_db.py（VACUUM INTO + 时间戳目录） + scripts/restore_db.py；docs/DEPLOYMENT.md 文档化备份策略；可选 cron 接入。,是
